x_utm,y_utm,lon,lat,height_m,crown_radius_m,bucket
552759.38,4161154.09,-122.4023446,37.5959485,39.5,8.3,tall
551364.38,4163133.09,-122.4180074,37.6138643,39.5,10.2,tall
551857.38,4161174.09,-122.4125605,37.5961801,39.3,11.0,tall
551491.38,4162443.09,-122.4166171,37.6076382,39.2,13.0,tall
551344.38,4163138.09,-122.4182337,37.6139105,39.1,11.9,tall
551841.38,4161197.09,-122.4127401,37.5963883,39.1,10.3,tall
551613.38,4162265.09,-122.4152475,37.606027,39.0,10.2,tall
551847.38,4161176.09,-122.4126737,37.5961987,39.0,12.1,tall
551496.38,4162628.09,-122.4165474,37.6093053,38.9,7.7,tall
551386.38,4163140.09,-122.4177577,37.6139262,38.9,7.5,tall
551952.38,4162200.09,-122.4114116,37.6054221,38.8,8.8,tall
551950.38,4162188.09,-122.4114351,37.6053141,38.7,14.0,tall
552377.38,4161884.09,-122.4066194,37.6025499,38.6,14.0,tall
551395.38,4163141.09,-122.4176556,37.6139347,38.6,10.1,tall
551575.38,4162302.09,-122.4156754,37.6063627,38.5,14.0,tall
551659.38,4162027.09,-122.4147431,37.6038794,38.4,11.5,tall
552368.38,4161888.09,-122.4067211,37.6025864,38.3,7.7,tall
552321.38,4161726.09,-122.4072651,37.601129,38.2,13.1,tall
551888.38,4161290.09,-122.4122012,37.5972239,38.2,14.0,tall
552368.38,4161882.09,-122.4067215,37.6025324,38.1,8.9,tall
551498.38,4162444.09,-122.4165377,37.6076468,38.0,13.7,tall
551207.38,4163014.09,-122.4197946,37.6128005,37.9,14.0,tall
551295.38,4162722.09,-122.418818,37.6101638,37.8,3.0,tall
551203.38,4162758.09,-122.4198578,37.6104934,37.8,11.7,tall
551675.38,4162026.09,-122.414562,37.6038694,37.7,9.6,tall
551591.38,4162285.09,-122.4154953,37.6062085,37.7,11.7,tall
551209.38,4162761.09,-122.4197896,37.6105201,37.6,6.7,tall
551617.38,4162256.09,-122.4152028,37.6059457,37.6,5.3,tall
551455.38,4162617.09,-122.4170127,37.6092085,37.4,7.2,tall
551498.38,4162374.09,-122.4165426,37.6070159,37.3,14.0,tall
552747.38,4161117.09,-122.4024832,37.5956157,37.3,14.0,tall
551345.38,4163120.09,-122.4182236,37.6137482,37.2,14.0,tall
551891.38,4162188.09,-122.4121035,37.6053174,37.2,14.0,tall
551680.38,4162039.09,-122.4145044,37.6039863,37.0,6.8,tall
551615.38,4162251.09,-122.4152258,37.6059008,37.0,3.4,tall
552212.38,4161673.09,-122.4085037,37.6006575,36.9,14.0,tall
551469.38,4162617.09,-122.4168541,37.6092077,36.7,8.0,tall
552748.38,4161201.09,-122.4024658,37.5963728,36.7,14.0,tall
551604.38,4162276.09,-122.4153486,37.6061267,36.6,7.0,tall
552307.38,4161716.09,-122.4074244,37.6010397,36.6,7.8,tall
552769.38,4161154.09,-122.4022314,37.595948,36.6,14.0,tall
551567.38,4162284.09,-122.4157673,37.6062009,36.4,14.0,tall
551630.38,4162225.09,-122.4150577,37.6056656,36.3,6.1,tall
551572.38,4162283.09,-122.4157107,37.6061916,36.3,8.7,tall
552291.38,4161928.09,-122.4075905,37.6029513,36.2,14.0,tall
552309.38,4161914.09,-122.4073876,37.6028241,36.2,12.5,tall
551682.38,4162021.09,-122.414483,37.603824,36.2,4.9,tall
552324.38,4161923.09,-122.4072171,37.6029044,36.2,10.9,tall
551662.38,4162045.09,-122.4147079,37.6040414,36.1,10.1,tall
552253.38,4161425.09,-122.4080569,37.59842,36.0,12.7,tall
551489.38,4162435.09,-122.4166403,37.6075662,36.0,7.8,tall
551978.38,4162252.09,-122.4111133,37.6058893,35.9,13.8,tall
551450.38,4162570.09,-122.4170726,37.6087852,35.9,12.4,tall
551807.38,4161412.09,-122.4131101,37.598328,35.8,14.0,tall
551629.38,4162218.09,-122.4150695,37.6056025,35.8,9.8,tall
552519.38,4161421.09,-122.405044,37.5983688,35.7,10.4,tall
551441.38,4162616.09,-122.4171714,37.6092003,35.6,9.9,tall
551380.38,4162621.09,-122.4178621,37.6092487,35.6,14.0,tall
551497.38,4162398.09,-122.4165523,37.6072323,35.6,6.7,tall
551608.38,4162250.09,-122.4153052,37.6058921,35.5,10.4,tall
551497.38,4162391.09,-122.4165527,37.6071692,35.4,11.7,tall
551434.38,4162592.09,-122.4172523,37.6089843,35.2,13.1,tall
552329.38,4161912.09,-122.4071612,37.602805,35.2,8.7,tall
551579.38,4162278.09,-122.4156317,37.6061461,35.2,7.4,tall
551440.38,4162605.09,-122.4171835,37.6091012,35.2,9.0,tall
551896.38,4162197.09,-122.4120462,37.6053982,35.2,13.1,tall
551752.38,4162029.09,-122.4136894,37.6038922,35.1,11.2,tall
551498.38,4162408.09,-122.4165402,37.6073224,35.0,13.5,tall
551423.38,4162598.09,-122.4173765,37.609039,35.0,8.8,tall
551758.38,4162031.09,-122.4136213,37.6039098,34.9,6.8,tall
552835.38,4162434.09,-122.4013913,37.6074808,34.9,14.0,tall
552493.38,4161918.09,-122.4053029,37.6028497,34.9,12.8,tall
552781.38,4162372.09,-122.4020076,37.6069251,34.8,7.4,tall
551509.38,4162365.09,-122.4164186,37.6069342,34.8,14.0,tall
552785.38,4162380.09,-122.4019617,37.606997,34.8,7.7,tall
552736.38,4161152.09,-122.4026053,37.5959318,34.7,8.5,tall
552513.38,4161420.09,-122.4051121,37.5983601,34.7,6.7,tall
552501.38,4161424.09,-122.4052477,37.5983968,34.7,8.1,tall
551502.38,4162437.09,-122.4164929,37.6075835,34.7,7.9,tall
551231.38,4162768.09,-122.4195399,37.610582,34.5,9.8,tall
551977.38,4161725.09,-122.4111621,37.6011395,34.5,11.4,tall
551454.38,4162598.09,-122.4170253,37.6090373,34.4,11.4,tall
551716.38,4162098.09,-122.4140924,37.6045161,34.4,9.4,tall
551829.38,4161202.09,-122.4128757,37.596434,34.4,9.7,tall
551447.38,4162597.09,-122.4171047,37.6090287,34.3,6.6,tall
551686.38,4162049.09,-122.4144357,37.6040761,34.3,14.0,tall
551997.38,4162258.09,-122.4108977,37.6059423,34.3,13.6,tall
551389.38,4163127.09,-122.4177246,37.6138088,34.2,9.2,tall
551516.38,4162356.09,-122.41634,37.6068527,34.2,13.7,tall
551305.38,4162770.09,-122.4187014,37.6105959,34.2,6.7,tall
551707.38,4162094.09,-122.4141946,37.6044805,34.2,12.1,tall
551496.38,4162418.09,-122.4165622,37.6074126,34.1,13.3,tall
551190.38,4163037.09,-122.4199856,37.6130088,34.0,8.3,tall
551438.38,4162572.09,-122.4172084,37.6088039,34.0,10.3,tall
551955.38,4161730.09,-122.411411,37.6011858,33.9,11.6,tall
551596.38,4162259.09,-122.4154405,37.6059739,33.7,4.4,tall
551893.38,4161212.09,-122.41215,37.5965206,33.7,7.5,tall
551590.38,4162264.09,-122.4155081,37.6060193,33.7,10.2,tall
551830.38,4161191.09,-122.4128652,37.5963348,33.5,14.0,tall
552774.38,4161163.09,-122.4021741,37.5960288,33.5,10.2,tall
551688.38,4162033.09,-122.4144142,37.6039318,33.4,7.0,tall
551691.38,4162039.09,-122.4143798,37.6039857,33.4,8.3,tall
551414.38,4162655.09,-122.4174745,37.6095533,33.3,9.7,tall
551462.38,4162569.09,-122.4169367,37.6087755,33.2,8.8,tall
552497.38,4161402.09,-122.4052946,37.5981988,33.2,7.4,tall
551706.38,4162073.09,-122.4142074,37.6042913,33.2,6.8,tall
551216.38,4161718.09,-122.4197833,37.6011191,33.1,14.0,tall
552524.38,4162226.09,-122.4049296,37.6056239,33.1,14.0,tall
551262.38,4161102.09,-122.4193054,37.5955645,33.1,10.9,tall
552242.38,4161412.09,-122.4081825,37.5983034,33.0,14.0,tall
551697.38,4162053.09,-122.4143108,37.6041116,33.0,8.8,tall
551885.38,4161211.09,-122.4122407,37.596512,32.9,9.4,tall
551885.38,4161219.09,-122.4122402,37.5965841,32.9,8.6,tall
551700.38,4162032.09,-122.4142783,37.6039221,32.7,5.0,tall
552798.38,4162380.09,-122.4018144,37.6069963,32.7,11.0,tall
552705.38,4161362.09,-122.4029413,37.5978263,32.6,13.9,tall
553073.38,4161564.09,-122.3987581,37.5996258,32.6,14.0,tall
552733.38,4161197.09,-122.402636,37.5963376,32.6,14.0,tall
552771.38,4162380.09,-122.4021203,37.6069978,32.5,14.0,tall
551723.38,4162075.09,-122.4140147,37.6043084,32.5,6.4,tall
551525.38,4162360.09,-122.4162377,37.6068882,32.4,6.2,tall
552791.38,4162345.09,-122.4018962,37.6066812,32.3,8.3,tall
551994.38,4162822.09,-122.4108915,37.6110258,32.2,14.0,tall
551712.38,4162080.09,-122.414139,37.6043541,32.1,6.7,tall
552763.38,4162358.09,-122.4022125,37.6068,32.1,8.6,tall
551726.38,4162069.09,-122.4139812,37.6042541,32.0,8.6,tall
552769.38,4161132.09,-122.4022329,37.5957497,32.0,9.4,tall
552509.38,4161439.09,-122.405156,37.5985316,32.0,11.9,tall
552504.38,4161409.09,-122.4052148,37.5982615,32.0,9.0,tall
551697.38,4162120.09,-122.4143061,37.6047154,31.9,14.0,tall
552769.38,4162357.09,-122.4021446,37.6067906,31.9,7.1,tall
551632.38,4161238.09,-122.4151047,37.5967696,31.8,11.0,tall
552447.38,4161460.09,-122.4058568,37.5987244,31.7,14.0,tall
551711.38,4162066.09,-122.4141513,37.6042279,31.7,9.4,tall
551461.38,4162562.09,-122.4169486,37.6087124,31.6,8.7,tall
551611.38,4161234.09,-122.4153428,37.5967347,31.5,13.9,tall
551439.38,4162563.09,-122.4171977,37.6087227,31.5,7.5,tall
551428.38,4162625.09,-122.417318,37.6092821,31.5,3.8,tall
551284.38,4162775.09,-122.4189389,37.6106421,31.5,6.4,tall
552912.38,4163099.09,-122.4004709,37.6134701,31.5,10.3,tall
553021.38,4163119.09,-122.3992344,37.613644,31.5,14.0,tall
551557.38,4162295.09,-122.4158798,37.6063006,31.4,8.7,tall
552489.38,4161395.09,-122.4053857,37.5981361,31.4,11.8,tall
552752.38,4161213.09,-122.4024197,37.5964807,31.4,12.5,tall
551811.38,4161944.09,-122.4130271,37.6031227,31.4,10.3,tall
551894.38,4161251.09,-122.412136,37.596872,31.3,13.2,tall
551892.38,4161204.09,-122.4121619,37.5964485,31.3,5.5,tall
551432.38,4162580.09,-122.4172759,37.6088763,31.2,5.1,tall
551904.38,4161210.09,-122.4120256,37.5965019,31.2,12.4,tall
552796.38,4162353.09,-122.401839,37.606753,31.1,11.5,tall
551746.38,4162073.09,-122.4137543,37.6042891,31.1,9.0,tall
552928.38,4163090.09,-122.4002902,37.613388,31.0,7.3,tall
552916.38,4163091.09,-122.4004261,37.6133977,31.0,12.0,tall
552722.38,4161114.09,-122.4027666,37.5955901,31.0,8.6,tall
551221.38,4162771.09,-122.419653,37.6106096,31.0,5.9,tall
551695.38,4162066.09,-122.4143326,37.6042288,31.0,9.9,tall
551798.38,4161952.09,-122.4131738,37.6031956,30.9,14.0,tall
552922.38,4163098.09,-122.4003576,37.6134605,30.9,7.7,tall
552849.38,4162445.09,-122.4012319,37.6075792,30.9,10.2,tall
551394.38,4163013.09,-122.4176759,37.6127811,30.8,13.9,tall
551259.38,4161110.09,-122.4193388,37.5956368,30.8,8.6,tall
551706.38,4162058.09,-122.4142085,37.6041561,30.8,5.1,tall
551513.38,4163091.09,-122.4163222,37.6134774,30.7,14.0,tall
552149.38,4161103.09,-122.409258,37.5955237,30.6,14.0,tall
552987.38,4163130.09,-122.3996189,37.6137451,30.6,9.5,tall
552744.38,4161181.09,-122.4025126,37.5961927,30.6,12.5,tall
551555.38,4162321.09,-122.4159006,37.606535,30.6,12.7,tall
552530.38,4162242.09,-122.4048605,37.6057678,30.6,6.4,tall
551766.38,4162036.09,-122.4135303,37.6039545,30.5,7.4,tall
551389.38,4163019.09,-122.4177322,37.6128354,30.5,12.1,tall
551836.38,4162689.09,-122.4126911,37.609836,30.5,14.0,tall
552915.38,4163114.09,-122.4004358,37.6136051,30.4,11.7,tall
551908.38,4161221.09,-122.4119795,37.5966008,30.4,7.2,tall
552891.38,4163135.09,-122.4007062,37.6137957,30.3,14.0,tall
551948.38,4161739.09,-122.4114896,37.6012673,30.3,14.0,tall
552503.38,4161395.09,-122.4052272,37.5981353,30.2,12.0,tall
551854.38,4161157.09,-122.4125957,37.596027,30.0,10.6,tall
